Modulo,Algoritmo,Repeticao,Cobertura
selection_sort_6,DYNAMOSA,2,0.9473684210526315
selection_sort_6,DYNAMOSA,3,0.9473684210526315
selection_sort_6,MOSA,1,0.9473684210526315
selection_sort_6,MOSA,2,0.9473684210526315
selection_sort_6,MOSA,3,0.9473684210526315
selection_sort_6,MIO,1,0.9473684210526315
selection_sort_6,MIO,2,0.9473684210526315
selection_sort_6,MIO,3,0.9473684210526315
selection_sort_6,WHOLE_SUITE,1,0.9473684210526315
selection_sort_6,WHOLE_SUITE,2,0.9473684210526315
selection_sort_6,WHOLE_SUITE,3,0.9473684210526315
selection_sort_6,RANDOM,1,0.7894736842105263
selection_sort_6,RANDOM,2,0.7894736842105263
selection_sort_6,RANDOM,3,0.7894736842105263
selection_sort_9,DYNAMOSA,1,0.9473684210526315
selection_sort_9,DYNAMOSA,2,0.9473684210526315
selection_sort_9,DYNAMOSA,3,0.9473684210526315
selection_sort_9,MOSA,1,0.9473684210526315
selection_sort_9,MOSA,2,0.9473684210526315
selection_sort_9,MOSA,3,0.9473684210526315
selection_sort_9,MIO,1,0.9473684210526315
selection_sort_9,MIO,2,0.9473684210526315
selection_sort_9,MIO,3,0.9473684210526315
selection_sort_9,WHOLE_SUITE,1,0.9473684210526315
selection_sort_9,WHOLE_SUITE,2,0.9473684210526315
selection_sort_9,WHOLE_SUITE,3,0.9473684210526315
selection_sort_9,RANDOM,1,0.7894736842105263
selection_sort_9,RANDOM,2,0.7894736842105263
selection_sort_9,RANDOM,3,0.7894736842105263
